sku_name,qty_ordered
Aladdin_Wrench_Snap N Grip_01,1.0
kansai_NeverWet,10.0
MEGUIAR_A1214,1.0
HP_AB201TUN8L18PA,1.0
Dawlance_bundle_DWEK-8229_clear,1.0
Vouch 365 2016,5.0
Route_km256-L,1.0
Aladdin_bike_cover,3.0
Telemall_MM-DR-HB-L,23.0
JBS_WEN-035,1.0
emart_0-16,1.0
RS_Rehmat-e-Shereen Mix Mithai,13.0
Dawlance_MD 10 + DWB 600,23.0
emart_00-1,7.0
Entertainer Asia_Vouch 365 - 2017 Book Karachi,1.0
MEGUIAR_M0716,1.0
Am-PTV_ATS-004-M,5.0
BO_Hippo figured Child Seat,1.0
emart_Tyre Shape Air Compressor,5.0
UC_orange-L,1.0
Trans2_LW 999 ,3.0
Haier_HSU-18HZE-R2-DB DC Inverter,1.0
Rubian_Rubian Car Sun Visor Tissue Box - Green ,1.0
The Vitamin Company Kojic Acid Whitening Cream 40GM,4.0
pny_OU3 -32GB,1.0
iu_Tickets General Enclosure-Islamabad,20.0
aw_Octane Booster-12oz./354ml ,3.0
MEGUIAR_G13616,2.0
Tmall_MM-DR-PAD,2.0
pakistan_Pakistan Car Flag,1.0
MEGUIAR_G12711,4.0
vitamin_265,1.0
BFV_Black Friday voucher Rs  1500,1.0
Lacie_9000146,1.0
stripyinterior_100006,1.0
Z&A_ZEES-0128,1.0
MEGUIAR_G7164,1.0
MEGUIAR_G19216,2.0
kansai_Frosted Glass,1.0
MEGUIAR_G13115,1.0
aw_Ultra Shine Wash & Wax-64oz./1893ml ,2.0
Dawlance Split A/C LVS 30 Red 18000BTU LW,1.0
iu_Islamabad United Hoodie White-Islamabad,1.0
Life source_LS-3002 DBS,1.0
JBS_IFAM-025,1.0
seagate_SG E-2TB,2.0
aw_ENGINE DEGREASER-15 oz.,1.0
sockoye_QG in Quarter Grey,4.0
Transcend_64GB JetFlash 810,2.0
sindbad_Sindbad Gift Card-3,7.0
BFV_Black Friday voucher Rs  2000,1.0
BOOSTER CABLE 500AMP,1.0
aw_CRC DUST FREE -400ml  ,2.0
kansai_Chalkboard Brush-On,1.0
aw_Super Concentrated Fuel Injector (Black)-5.25oz./155ml ,2.0
UC_orange-XL,1.0
MEGUIAR_G12718,1.0
bogo_2016,1.0
kansai_Undercoating Aerosol,3.0
kansai_Cardinal Red,1.0
WB_T-75-M,1.0
Careem_50000 Credits,1.0
RAJESH_RAJ230,1.0
Entertainer Asia_Vouch 365-2017 Mobile App Lahore,2.0
MEGUIAR_G6107EU,1.0
MEGUIAR_A2116,1.0
contessa_CWC250,1.0
electro_Humidifier,1.0
aw_CONSTRUCTION FOAM-700ml,1.0
sstop_Universallensclipkit,2.0
JBS_WEN-043,1.0
stoner_95160,1.0
emart_0-37,1.0
lamp_Lamp Shade Umbrella 1 ,1.0
BO_Rectangular Sea Pool,1.0
Careem_25000 Credits,1.0
aw_Radiator Flush-300ml ,1.0
MEGUIAR_G7016,1.0
ld_fruit-STRAWBERRY,1.0
MEGUIAR_G10307,1.0
MEGUIAR_G4116,1.0
MEGUIAR_G18211,1.0
RB_Dettol Germ Busting Kit-bf,200.0
tucano_IPD7AN-BK,1.0
duma_4561253300294,4.0
